User: admin, Active: True, Role: ADMIN
User: __.army.__01, Active: True, Role: EMPLOYEE
User: army_01, Active: True, Role: ADMIN
User: john.miller51, Active: True, Role: EMPLOYEE
User: grace.davis42, Active: True, Role: EMPLOYEE
User: frank.smith86, Active: True, Role: EMPLOYEE
User: diana.taylor91, Active: True, Role: EMPLOYEE
User: eve.brown99, Active: True, Role: EMPLOYEE
User: charlie.johnson34, Active: True, Role: EMPLOYEE
User: frank.moore53, Active: True, Role: EMPLOYEE
User: charlie.miller28, Active: True, Role: EMPLOYEE
User: john.brown55, Active: True, Role: EMPLOYEE
User: bob.miller40, Active: True, Role: EMPLOYEE
User: army_70, Active: True, Role: ADMIN
User: ava.williams318, Active: True, Role: EMPLOYEE
User: emma.jones579, Active: True, Role: EMPLOYEE
User: olivia.johnson855, Active: True, Role: EMPLOYEE
User: charlotte.miller498, Active: True, Role: EMPLOYEE
User: sophia.garcia316, Active: True, Role: EMPLOYEE
User: olivia.smith769, Active: True, Role: EMPLOYEE
User: oliver.smith153, Active: True, Role: EMPLOYEE
User: charlotte.garcia195, Active: True, Role: EMPLOYEE
User: elijah.brown501, Active: True, Role: EMPLOYEE
User: sophia.davis960, Active: True, Role: EMPLOYEE
User: charlotte.williams166, Active: True, Role: EMPLOYEE
User: olivia.williams825, Active: True, Role: EMPLOYEE
User: william.miller432, Active: True, Role: EMPLOYEE
User: olivia.johnson136, Active: True, Role: EMPLOYEE
User: sophia.miller388, Active: True, Role: EMPLOYEE
User: ava.rodriguez444, Active: True, Role: EMPLOYEE
User: olivia.garcia995, Active: True, Role: EMPLOYEE
User: liam.garcia338, Active: True, Role: EMPLOYEE
User: charlotte.martinez628, Active: True, Role: EMPLOYEE
User: olivia.miller737, Active: True, Role: EMPLOYEE
User: noah.rodriguez701, Active: True, Role: EMPLOYEE
User: oliver.davis299, Active: True, Role: EMPLOYEE
User: liam.rodriguez774, Active: True, Role: EMPLOYEE
User: oliver.davis720, Active: True, Role: EMPLOYEE
User: liam.martinez117, Active: True, Role: EMPLOYEE
User: oliver.miller981, Active: True, Role: EMPLOYEE
User: noah.brown394, Active: True, Role: EMPLOYEE
User: ava.jones164, Active: True, Role: EMPLOYEE
User: liam.johnson397, Active: True, Role: EMPLOYEE
User: ava.rodriguez187, Active: True, Role: EMPLOYEE
User: william.davis809, Active: True, Role: EMPLOYEE
User: noah.johnson890, Active: True, Role: EMPLOYEE
User: william.johnson256, Active: True, Role: EMPLOYEE
User: sophia.williams265, Active: True, Role: EMPLOYEE
User: sophia.williams607, Active: True, Role: EMPLOYEE
User: olivia.rodriguez919, Active: True, Role: EMPLOYEE
User: charlotte.davis163, Active: True, Role: EMPLOYEE
User: william.smith943, Active: True, Role: EMPLOYEE
User: ava.johnson774, Active: True, Role: EMPLOYEE
User: olivia.davis876, Active: True, Role: EMPLOYEE
User: elijah.williams447, Active: True, Role: EMPLOYEE
User: ava.garcia686, Active: True, Role: EMPLOYEE
User: charlotte.davis801, Active: True, Role: EMPLOYEE
User: charlotte.martinez646, Active: True, Role: EMPLOYEE
User: charlotte.brown724, Active: True, Role: EMPLOYEE
User: oliver.williams804, Active: True, Role: EMPLOYEE
User: sophia.garcia270, Active: True, Role: EMPLOYEE
User: elijah.brown745, Active: True, Role: EMPLOYEE
User: olivia.smith267, Active: True, Role: EMPLOYEE
User: olivia.miller340, Active: True, Role: EMPLOYEE
User: charlotte.miller160, Active: True, Role: EMPLOYEE
User: william.davis587, Active: True, Role: EMPLOYEE
User: ava.davis321, Active: True, Role: EMPLOYEE
User: olivia.martinez903, Active: True, Role: EMPLOYEE
User: olivia.jones930, Active: True, Role: EMPLOYEE
User: william.smith390, Active: True, Role: EMPLOYEE
User: william.garcia765, Active: True, Role: EMPLOYEE
User: sophia.brown475, Active: True, Role: EMPLOYEE
User: oliver.jones465, Active: True, Role: EMPLOYEE
User: olivia.brown729, Active: True, Role: EMPLOYEE
User: alice.johnson, Active: True, Role: EMPLOYEE
User: bob.smith, Active: True, Role: EMPLOYEE
User: charlie.brown, Active: True, Role: EMPLOYEE
User: diana.prince, Active: True, Role: EMPLOYEE
User: ethan.hunt, Active: True, Role: EMPLOYEE
User: fiona.gallagher, Active: True, Role: EMPLOYEE
User: george.costanza, Active: True, Role: EMPLOYEE
User: hannah.baker, Active: True, Role: EMPLOYEE
User: ian.wright, Active: True, Role: EMPLOYEE
User: jane.austen, Active: True, Role: EMPLOYEE
User: army01, Active: True, Role: ADMIN
User: army02, Active: True, Role: ADMIN
User: army03, Active: True, Role: ADMIN
